age_group,invited,registered,date
75-,1453,1463,2021-05-23
-18,0,39,2021-05-24
18-30,212,1358,2021-05-24
30-40,398,2514,2021-05-24
40-50,731,3537,2021-05-24
50-60,4829,5398,2021-05-24
60-75,5495,5580,2021-05-24
75-,1777,1798,2021-05-24
-18,0,46,2021-05-25
18-30,211,1291,2021-05-25
30-40,398,2361,2021-05-25
40-50,1006,3801,2021-05-25
50-60,5229,5780,2021-05-25
60-75,5381,5466,2021-05-25
75-,1674,1689,2021-05-25
-18,0,69,2021-05-26
18-30,270,1670,2021-05-26
30-40,462,2721,2021-05-26
40-50,1109,4119,2021-05-26
